date,startTime,endTime,title,venue,room,address,ageRange,types,cost,tips,audiences,eventUrl,alreadyOnPuddles,description
2026-09-22,16:00,17:00,LEGO Tuesdays!,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68afa7b0022de53d00d27179,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-09-23,10:30,11:00,Little Ones Storytime,Children's Library,Treetop Room,"1276  Harriet Street, Palo Alto, CA 94301",0–2,Stories,Free,,Babies (under 2); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6946001eea69de6e001069b0,yes,"Join Librarian Heidi on Wednesday mornings at 10:30AM for Little Ones Storytime at Children's Library. Storytime includes a variety of early literacy activities such as stories, songs, rhymes, and movement activities. Storytime is a fun and interactive experience for the whole family that promotes the joys of reading and learning for all ages."
2026-09-23,14:00,15:00,Author Event: Celebrate the Mooncake Festival with Jasmine Fang,Children's Library,Secret Garden,"1276  Harriet Street, Palo Alto, CA 94301","2–5, 5+",Festivals & Community,Free,Space is limited (50 seats) — check the official page for registration.,Kids (6-11); Pre-schoolers (3-5); Tweens (11-13),https://paloalto.bibliocommons.com/events/6a6cdceee30fe4845965ed72,yes,"Join us for a special event featuring children's author Jasmine Fang! Jasmine will read her debut picture book, Beneath the Same Round Moon, then lead participants through a craft activity in celebration of the Autumn Moon Festival. Participants will have the chance to win a copy of Beneath the Same Round Moon (must be present to win!) . There will be an author signing at the conclusion of the program. Linden Tree Books will be providing copies of Jasmine's book to purchase. Jasmine Fang is the author of Beneath the Same Round Moon (Beaming Books, September 2026) and the forthcoming Our Chinatown Market (Penguin Viking, Spring 2028). A former government and higher education professional turned author, she draws on a decade of work and travel across 30+ countries, and a lifelong love of story, to write books rooted in heart and wonder. Jasmine now lives in the San Francisco Bay Area with her husband and children. Find her online at jasmineifang.com or on Instagram @jasmineifang ."
2026-09-23,18:30,19:15,Music & Movement,Mitchell Park Library,,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5, 5+",Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a3dbc0bfddb082f00fe149d,yes,"Bring your dancing feet to the Mitchell Park Library on Wednesday evenings for Music & Movement with Librarian Celina. Build early literacy skills through movement, songs, and dance. We will be celebrating Latine and Hispanic Heritage Month in our sessions until October 15.

 Instruments, songs, and dance moves will all be introduced so that everyone will be able to enjoy moving along to the music.

 This program is meant for families with children and no previous experience is needed!"
2026-09-24,10:30,11:00,Bilingual Family Storytime,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5",Stories,Free,Storytime may be held indoors or outdoors depending on the weather.,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69276b597eb3e430002638b2,yes,"Join Señorita Juliana for Bilingual Family Storytime at the College Terrace Library! Enjoy stories, songs, rhymes, and movement activities in Spanish and English . Thursdays from 10:30-11 AM. Follow us on YouTube for more stories, songs, and rhymes, including a playlist of our favorites! ¡Participa con la Señorita Juliana en la Hora Cuentos Bilingüe en la Biblioteca College Terrace! Disfruta de cuentos, canciones, rimas y actividades con movimiento en Español e Inglés . Jueves de 10:30-11 AM. La Hora de Cuentos se realizará adentro o al aire libre, dependiendo del clima. ¡Síguenos en YouTube para ver más cuentos, canciones y rimas, incluyendo una lista de reproducción con nuestros favoritos!"
2026-09-25,10:30,11:00,Family Storytime,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301",2–5,Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5),https://paloalto.bibliocommons.com/events/6946005fea69de6e001069c4,yes,"Join Librarian Heidi on Friday mornings at 10:30AM for Family Storytime at Downtown Library. Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-25,16:00,17:00,LEGO Fridays!,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a25aace2ea730c17ab5048c,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-09-26,10:30,11:00,Family Storytime,Mitchell Park Library,Midtown Room,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5",Stories,Free,,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/698e125a2a787a47a5e73be3,yes,"Join Librarian Juliana on Saturdays from 10:30-11 AM at Mitchell Park Library for Family Storytime! Come sing, rhyme, and read stories with us!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-29,10:30,11:00,Family Storytime,Children's Library,Secret Garden,"1276  Harriet Street, Palo Alto, CA 94301",2–5,Stories,Free,"Please note that this storytime is an indoor/outdoor program.
Access to the Secret Garden outside is weather dependent.",Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/699f624cb0595799c09f604f,yes,"Join Librarian Jennifer (and Rocky Raccoon) on Tuesdays at 10:30 AM for Family Storytime at Children's Library! Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome! Storytime will be held inside when the garden is unavailable. Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-09-29,16:00,17:00,LEGO Tuesdays!,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68afa7b0022de53d00d2717a,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-09-30,10:30,11:00,Little Ones Storytime,Children's Library,Treetop Room,"1276  Harriet Street, Palo Alto, CA 94301",0–2,Stories,Free,,Babies (under 2); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6946001eea69de6e001069b1,yes,"Join Librarian Heidi on Wednesday mornings at 10:30AM for Little Ones Storytime at Children's Library. Storytime includes a variety of early literacy activities such as stories, songs, rhymes, and movement activities. Storytime is a fun and interactive experience for the whole family that promotes the joys of reading and learning for all ages."
2026-09-30,18:30,19:15,Music & Movement,Mitchell Park Library,,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5, 5+",Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a3dbc0bfddb082f00fe149e,yes,"Bring your dancing feet to the Mitchell Park Library on Wednesday evenings for Music & Movement with Librarian Celina. Build early literacy skills through movement, songs, and dance. We will be celebrating Latine and Hispanic Heritage Month in our sessions until October 15.

 Instruments, songs, and dance moves will all be introduced so that everyone will be able to enjoy moving along to the music.

 This program is meant for families with children and no previous experience is needed!"
2026-10-01,10:30,11:00,Bilingual Family Storytime,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5",Stories,Free,Storytime may be held indoors or outdoors depending on the weather.,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/69276b597eb3e430002638b3,yes,"Join Señorita Juliana for Bilingual Family Storytime at the College Terrace Library! Enjoy stories, songs, rhymes, and movement activities in Spanish and English . Thursdays from 10:30-11 AM. Follow us on YouTube for more stories, songs, and rhymes, including a playlist of our favorites! ¡Participa con la Señorita Juliana en la Hora Cuentos Bilingüe en la Biblioteca College Terrace! Disfruta de cuentos, canciones, rimas y actividades con movimiento en Español e Inglés . Jueves de 10:30-11 AM. La Hora de Cuentos se realizará adentro o al aire libre, dependiendo del clima. ¡Síguenos en YouTube para ver más cuentos, canciones y rimas, incluyendo una lista de reproducción con nuestros favoritos!"
2026-10-02,10:30,11:00,Family Storytime,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301",2–5,Stories,Free,,Babies (under 2); Kids (6-11); Pre-schoolers (3-5),https://paloalto.bibliocommons.com/events/6946005fea69de6e001069c5,yes,"Join Librarian Heidi on Friday mornings at 10:30AM for Family Storytime at Downtown Library. Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-10-02,16:00,17:00,LEGO Fridays!,College Terrace Library,,"2300  Wellesley St., Palo Alto, CA 94306","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6a25aace2ea730c17ab5048d,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-10-03,10:30,11:00,Family Storytime,Mitchell Park Library,Midtown Room,"3700 Middlefield Rd, Palo Alto, CA 94303","0–2, 2–5",Stories,Free,,Babies (under 2); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/698e125a2a787a47a5e73be4,yes,"Join Librarian Juliana on Saturdays from 10:30-11 AM at Mitchell Park Library for Family Storytime! Come sing, rhyme, and read stories with us!

 Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-10-06,10:30,11:00,Family Storytime,Children's Library,Secret Garden,"1276  Harriet Street, Palo Alto, CA 94301",2–5,Stories,Free,"Please note that this storytime is an indoor/outdoor program.
Access to the Secret Garden outside is weather dependent.",Babies (under 2); Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/699f624cb0595799c09f6050,yes,"Join Librarian Jennifer (and Rocky Raccoon) on Tuesdays at 10:30 AM for Family Storytime at Children's Library! Come sing, rhyme, and read stories with us! While this storytime will be geared towards those older than 2 years, all ages are welcome! Storytime will be held inside when the garden is unavailable. Make sure to follow us on YouTube for more stories, songs and rhymes, including a playlist of all of our favorite songs to sing!"
2026-10-06,16:00,17:00,LEGO Tuesdays!,Downtown Library,El Camino Room,"270 Forest Ave., Palo Alto, CA 94301","0–2, 2–5, 5+",Build & Explore,Free,LEGOs stay at the library — snap a pic of creations!,Kids (6-11); Pre-schoolers (3-5); Toddlers (18 mos. to 3 yrs); Tweens (11-13),https://paloalto.bibliocommons.com/events/68afa7b0022de53d00d2717b,yes,"We have the LEGOs! Bring your imagination and build something fun! In addition to being a great way to introduce the engineering and art concepts of STEAM, playing with LEGO’s supports early childhood development because children engage in problem solving, teamwork, self-confidence, and creativity!"
2026-10-07,10:30,11:00,Little Ones Storytime,Children's Library,Treetop Room,"1276  Harriet Street, Palo Alto, CA 94301",0–2,Stories,Free,,Babies (under 2); Toddlers (18 mos. to 3 yrs),https://paloalto.bibliocommons.com/events/6946001eea69de6e001069b2,yes,"Join Librarian Heidi on Wednesday mornings at 10:30AM for Little Ones Storytime at Children's Library. Storytime includes a variety of early literacy activities such as stories, songs, rhymes, and movement activities. Storytime is a fun and interactive experience for the whole family that promotes the joys of reading and learning for all ages."
